Generation,evals,avg,std,min,max,best_one,fitness_best_one
74,332,[  7.        406.7778841],[0.         0.70527794],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
75,340,[  7.         406.44511764],[0.         0.92017139],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
76,324,[  7.         405.83790495],[0.         0.95355634],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
77,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
78,336,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
79,332,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
80,350,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
81,354,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
82,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
83,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
84,354,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
85,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
86,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
87,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
88,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
89,352,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
90,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
91,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
92,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
93,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
94,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
95,364,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
96,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
